text,study_label,score,source
@anonymous haha! it's brilliant. they inspire such love and happiness. you will write a joy filled happy song. or one about carbs.,positive,2.540816327,tweets
Canada wins a medal in swimming! :) Wow - here we come world! ;),positive,2.897959184,tweets
it's official. i am sleeping by the river this afternoon.,positive,0.315217391,tweets
does the sun have a smell?,neutral,-0.021052632,tweets
Happy birthday to the amazingly awesome @anonymous. Hope you have a great one.,positive,2.693877551,tweets
At the Dunkin on 620. Lots of cyclists out this morning.,positive,0.311827957,tweets
I am okay with losing when its due to my lack of skill or if I get outplayed. But I hate losing due to technical difficulty bullshit. So mad,negative,-2.255319149,tweets
2pm is the hour of unproductivity.,negative,-0.978947368,tweets
DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE #royalwedding,negative,-2.711340206,tweets
Today is 8-9-10. Yay for fun dates.,positive,2.040816327,tweets
Chillin at starbucks downtown on sixth st. Waiting for the new orleans brass band to start. Anyone going?,positive,0.684210526,tweets
ARRESTED DEVELOPMENT! ARRESTED DEVELOPMENT! ARRESTED DEVELOPMENT! ARRESTED DEVELOPMENT! http://url_removed,positive,1.432989691,tweets
"Damn, we just lost power. Hate that.",negative,-1.541666667,tweets
feeling like a dumb bitch. fucking #uterusdemon only made things worse. fuck.,negative,-3.175257732,tweets
My one political tweet for the month is now concluded.,positive,0.126315789,tweets
Oh wow! I absolutely love the idea behind http://url_removed! =D,positive,2.387755102,tweets
Why do people still use facsimile machines?,negative,-0.462365591,tweets
Yay Dayquil. Yay with bells on.,positive,1.301075269,tweets
Rode for a few relaxation miles in Royce City and Hunt County (thanks @anonymous for frontage roads). Windy as all get out today.,positive,0.673684211,tweets
I LOVE Psych. love love love love love love love .  Shawn doing the I believe speech from Bull Durham in his own way? Superb.,positive,3.0625,tweets
"@anonymous oh trust me, I have this one shirt that went from ""I like it"" to ""F*&amp;N&amp;* LONG HORNS DIE DIE DIE KILL KILL KILL""",negative,-1.947368421,tweets
@anonymous WOW!! Awesome.  Bet you feel nice and relaxed. :)  What a great b-day gift!,positive,3.042105263,tweets
"I had such an amazing time out tonight. Good laugh, amazing friends, grateful life",positive,2.197916667,tweets
"The word ""just"" is a complicated word.",negative,-0.357894737,tweets
"Beginning to write a song called ""Shoot Me In The Face"". Anyone have lyrics they would like to add? So far I have ""shot in the face ah""",negative,-0.821052632,tweets
"There are over 11,000 emails in my inbox. O thinly its time for some cleaning.",negative,-0.381443299,tweets
I hate this. I hate this. I hate this. I hate this. I hate this.,negative,-3.0,tweets
Finished the interview. Now on to OH.,positive,0.618556701,tweets
"Wow! That was a whirlwind of first day of summer school activities. So far, so good. Kids are excited. I'm excited. Students seem excited.",positive,2.494845361,tweets
@anonymous when does it come out for droid,neutral,0.043010753,tweets
after seeing Los Amigos Invisibles last night i have a insatiable craving to listen to latino disco funk.,positive,0.959183673,tweets
I probably should start thinking about packing for several days in Italy...,positive,0.714285714,tweets
THIS JULIET BITCH IS... A BITCH!! A HUGE BITCH!!! #LOST #others #emotionalterrorism #whydoialwaysfallforit,negative,-3.474226804,tweets
Wtf? 8-2...?  Wtf?,negative,-1.75257732,tweets
That was fun. I like winning at trivia,positive,1.416666667,tweets
Twitter has become a Monty Python skit: SPAM SPAM SPAM SPAM SPAM SPAM SPAM SPAM ...,negative,-1.822916667,tweets
outstanding!,positive,2.989361702,tweets
angry. so angry. so fucking angry.,negative,-3.368421053,tweets
@anonymous thats just funny i mean.. i cant imagine bein all like hey uh dont thank me okay? lol its just funny but no so haha funny,positive,0.673913043,tweets
"Amazing experience at #soso. Great hospitality, amazing insights. Thank you everyone who contributed, supported and otherwise participated",positive,2.520408163,tweets
The dirby is out of control.,negative,-0.627659574,tweets
@anonymous love it your amazing =D,positive,2.639175258,tweets
@anonymous 11?,neutral,0.010526316,tweets
hooray i've officially tweeted 6000 times :P lol,positive,1.923913043,tweets
"#TheSoundofMusic was okay. Great production. Not so keen about some of the performers though. But awesome, awesome seats. :)",positive,1.287234043,tweets
"Oh @anonymous, why must you not have a native OS X client for vCenter?",negative,-0.505263158,tweets
Just landed in houston. Now on to san jose costa rica.,positive,0.62244898,tweets
"whew, long day. now to bowling!",positive,1.051546392,tweets
Im looking to rent a 3Br house in pgh. Any leads?,positive,0.204081633,tweets
glazed cream filled donuts. It's the simple things that keep me going.,positive,1.452631579,tweets
Might use Volpaia,neutral,0.020618557,tweets
Omg that is a bad bad miss :( #Frenchopen,negative,-1.947368421,tweets
"Olympics were in 1st last nite at 9pm. American Idol lost top spot 1st time in 6yrs. Guess fun sport,good story overrule boring AI episode.",positive,0.610526316,tweets
"Drunk driver arrested, charged in crash that killed Mount Arlington police officer | http://url_removed",negative,-1.691489362,tweets
Another awesome night. Hooray good friends and good food!,positive,2.835051546,tweets
I fucking hate people who have money and think there GOD! FU Bitch set ur damn alarm clock and leave me alone,negative,-3.614583333,tweets
"Sorry to say, but the starving artist stereotype sucks, is stupid and I hate it.",negative,-2.350515464,tweets
Fear is the path to the dark side. Fear leads to anger. Anger leads to hate. Hate leads to suffering. - Yoda,negative,-0.453608247,tweets
"Thank you Brighton. Lovely fun. Now, HOW DID JEDWARD NOT WIN #cbb?!",positive,0.778947368,tweets
"@anonymous haven't noticed too much difference in speed, but its much cooler.",positive,1.021276596,tweets
epic win! good game canada! ... but not good enough! #wjhc :-),positive,1.760416667,tweets
"lol @anonymous fun? book, yes, mammo, no. getting the ""all clear"" is kinda fun. but getting squished into - - is never fun.",negative,-0.354166667,tweets
Super quiet shift today. The good kind :),positive,1.947916667,tweets
"Blah Blah Blah, soccer, blah blah angry stand-off, blah blah. Whatever. Look at the cute car!!! http://url_removed",negative,-0.422680412,tweets
@anonymous @anonymous I whole heartedly vouch for @anonymous's bastardness. He is a bastard coated bastard with bastard filling.,negative,-2.526315789,tweets
I feel funny. Funny strange not funny haha.,neutral,-0.041237113,tweets
"Arizona shootings: Injured victim arrested, accused of threats - latimes.com: http://url_removed via @anonymous",negative,-1.898989899,tweets
papercuts suck worse. RT @anonymous: I hate paperwork.,negative,-1.479166667,tweets
I hate Joomla I hate Joomla I hate Joomla I hate Joomla I hate Joomla I hate Joomla I hate Joomla I hate Joomla I hate Joomla I hate Joomla,negative,-3.136842105,tweets
Boring as hell,negative,-2.010638298,tweets
@anonymous :'( :'(,negative,-1.968085106,tweets
headin to the southland for the weekend. im squeezin outta this place.,positive,0.505263158,tweets
"WHAT THE HELL HAPPENED TO NO MONOPOLIES?!?!! I am pissed @anonymous, very pissed!",negative,-2.96875,tweets
Cigar smell is absolutely disgusting. Gross gross gross,negative,-1.958333333,tweets
@anonymous I totally think its a bug in location services - I constantly use location aware apps and my 4S dies way faster than my 4,negative,-0.9375,tweets
"@anonymous That is awesome!  I love those kind of socks.. they're so much fun!  I dont care that im 35, I can have fun! LOL",positive,2.666666667,tweets
fuck! I lost a sock! goddamn laundry.,negative,-2.402061856,tweets
Wtf wit dat news... Wtf bad news brown is dead ...wtf,negative,-2.884210526,tweets
"Wow what an awesome day, early day spent with awesome company and later day spent with more awesome company. Plus LOOOTS of walking :)",positive,3.021052632,tweets
"Today was marvelous, work was peaceful &amp; fun and ended the day with yummy Thai food with some wonderful friends. #lovelife #living",positive,2.989473684,tweets
Here' a very n ive typography site. I'm looking forward to researching! http://url_removed,positive,1.237113402,tweets
fun!!,positive,2.418367347,tweets
"When I say yay, assume I'm saying yay like Kermit.",positive,1.357894737,tweets
"I hate, hate, hate blue shield.",negative,-2.875,tweets
Yayuhhh! KristaaaaaYna just showed all these BUM bitches how to moon walk up in dis bitch wit her drunk ass! #LehhGoooBiiiiitchh !!!!,positive,0.791666667,tweets
@anonymous awesome! Good luck. Can't wait to hear it!,positive,2.144329897,tweets
Yay progress! \o/,positive,1.959183673,tweets
Mentioned Possum Kingdom.  Now I'm hearing The Toadies in my head.,positive,0.326315789,tweets
fucking hates traffic,negative,-2.926315789,tweets
wow! Busy day! :) :) :),positive,1.824742268,tweets
@anonymous how bout we blow up a blow-up castle!,positive,0.747368421,tweets
Chip Kelly is my homie for what he is doing to Lane Kiffen right now.,positive,1.360824742,tweets
after 6 yrs of hosting Latkefest here at Casa de Haha my BFFs are making the latkes at their house tonight. needless to say: yay! yay! yay!,positive,2.3125,tweets
"@anonymous Tell me about it.  Still here, about to go home and run. May drive out toward Red Raider country here in Texass.",neutral,0.031914894,tweets
"I don't have enough time. Can anyone spare me some,  today?",negative,-0.587628866,tweets
Bad mood bad mood bad mood.,negative,-2.608247423,tweets
"R.I.P. George Kuchar. What a terrible, terrible loss.",negative,-2.705263158,tweets
"Wow. ""True Blood"" was good tonight.",positive,2.164948454,tweets
Goodbye Magic Kingdom!!! :'( :'( :'( Waiting for bus back to resort for DME :'( :'( :'(,negative,-1.178947368,tweets
"Dogs + Puppets + Brits = Win! Win! Win! Thanks, @anonymous for #Mongrels http://url_removed",positive,2.375,tweets
Yay! An awesome evening with marvelous company as always. :-D And yet again the marathon was incomplete... ;-),positive,2.147368421,tweets
Damn country bastards,negative,-1.6875,tweets
First rule of IT:  Computers don't lie.  People do.,negative,-0.494736842,tweets
LOVE THESE CHICKS! SO AWESOME! #Emmys @anonymous @anonymous @anonymous YAY!,positive,2.773195876,tweets
IT'S FRIDAY! IT'S FRIDAY! FUN FUN FUN!,positive,3.141414141,tweets
"Great food, great stories, great friends, great chocolate... A fantastic night last night. Let the Christmas parties begin!",positive,3.060606061,tweets
And the Lost series finale wins for WORST FUCKING FINALE FUCKING EVER FUCKING D: D: D: @anonymous @anonymous @anonymous,negative,-3.257731959,tweets
"Yay! The maternity cocktail dress I ordered from @anonymous is here, fits and looks super cute! Hooray!",positive,2.614583333,tweets
"Just tried Starbucks VIA instant coffee. Feels watery yet has some flavor. Overly smooth, not bitter. Inoffensive &amp; better than office brew.",positive,0.804123711,tweets
"Unisex bathrooms: Very pc, but not very practical.",negative,-0.659793814,tweets
Comparison speed test: Speakeasy.net (2nd Google speed test search result) saying 32.58mbps down/6.76mbps up,positive,0.126315789,tweets
I fucking hate Windows.,negative,-3.080808081,tweets
So pissed!!! Damn UPS!,negative,-2.989473684,tweets
Made my flight yay =D,positive,1.791666667,tweets
Having trouble with support from a vendor.  Time to call on my sales guy...,negative,-1.237113402,tweets
"I love when people say some funny and end their posts in ""lots of love"" (lol). So cute! Lol &lt;3",positive,1.888888889,tweets
"Yet again, an HP employee almost runs me over in the parking lot #stillbitter",negative,-2.114583333,tweets
"18 Drinkings Songs to Toast the End of Prohibition, by @anonymous: http://url_removed",positive,0.551020408,tweets
Yay. SD offered to take us all out for supper. Yay. I don't have to cook. Yay.,positive,1.697916667,tweets
since its lighter now we don't turn the lights on in our office until 4pm. #windows,positive,0.520833333,tweets
And then I found $20 in my back pocket!,positive,2.391752577,tweets
Is swordfish an italian dish?,neutral,0.010869565,tweets
So awesome. :-D,positive,2.329787234,tweets
Bloody hell #luther,negative,-1.927835052,tweets
So my IPhone is more reliable than time Warner cable. That takes real effort.,negative,-0.56122449,tweets
Now I'm sitting in Coffee Bean drinking an Americano setting up the Atlassian suite.,positive,0.697916667,tweets
"The Rise of Google, the Ascent of Facebook and the Decline of Everyone Else http://url_removed",negative,-0.47826087,tweets
Baylor may finally beat Mack Brown.,positive,0.565217391,tweets
Bought a new suit at Dillard's today and got a Tumi laptop bag for my birthday from my mother.,positive,1.510204082,tweets
"South Carolina newspaper apologizes for dirty word, you sensitive prick bastards [PSA]:     [link] [18 comments]  http://url_removed",negative,-1.652173913,tweets
Good morning tweethearts! Who wants some love? :D,positive,2.195876289,tweets
"Random morning broadband speed test...have 13.2mbps down, 6.1 up. Need new hobby.",negative,-0.255319149,tweets
"Give 'em hell, give 'em hell, give 'em hell!",positive,0.282608696,tweets
RT @anonymous: change is good. change is good. change is good. change is good. change is good. change is good.,positive,1.291666667,tweets
"Yay, @anonymous . I'm so glad :)",positive,2.4,tweets
Who the fuck steals laxatives?  How badly do you need to shit?,negative,-2.278350515,tweets
This contractor that someone hired should be flogged for writing a site in .NET when they knew we were a Linux shop.,negative,-1.546391753,tweets
I love working with brilliant people. I especially love working with brilliant hilarious people.,positive,2.020833333,tweets
"So I just told this guy that I thought his mohawk was bad ass, and he told me that my tits were bad ass.",positive,0.87755102,tweets
I dreamed about the Steelers for the first time last night. I have never slept so well. #Steelers,positive,1.445652174,tweets
Sad. Upset. Hurt. Annoyed. Frustrated. Spiteful. Angry. A plethora of feelings to choose from today.,negative,-2.221052632,tweets
"Fuck you unicode, think you can bring dat shit to mah house?  Awwww hell no!",negative,-2.368421053,tweets
Woohoo good start! :D,positive,2.145833333,tweets
totally at a loss for what to do for supper.  I hate HATE hate leftovers. Don't even suggest it. Hate with pathology even.  Hate.,negative,-2.357142857,tweets
damnit,negative,-1.84375,tweets
"Cranky, exhausted, and back to being sick. Fucking hell.",negative,-2.893617021,tweets
What vino do you bring to date night when you need a ringer (or two)? http://url_removed,positive,0.35106383,tweets
"Really... Who wouldn't want a strong, funny, sexy, intelligent woman? #stupidpersonalsshit",neutral,-0.010752688,tweets
@anonymous perhaps we saw 2 diff segments. Earlier one was not as u described.,negative,-0.368421053,tweets
Damn damn damn damn #Cowboys,negative,-2.326315789,tweets
yay. 300 followers =D,positive,1.458333333,tweets
wow. Very impressed with my Clemson Tigers so far. love it. :-),positive,1.833333333,tweets
I'm ready for some football this weekend in a big time way.  Arkansas v. Alabama - here I come.,positive,1.540816327,tweets
Got my copy of Pearl Jam - 6 November 2000 in the mail today.,positive,0.774193548,tweets
"So, 6 more songs! Verdicts? Horrible, boring, boring, boring, bad hentai game theme, bad acid trip.",negative,-2.536082474,tweets
@anonymous You've gotta have those calories after you go walk around the Wal-Mart on Rogers or Zero #exwestarker,positive,0.178947368,tweets
"Beautiful, funny, inspiring and invigorating memorial for #paulbingman. What a perfect way to celebrate a good man's life.",positive,2.463917526,tweets
...and replay time.,positive,0.107526882,tweets
No new LOST!?!? Damn.,negative,-1.836734694,tweets
SHAGGING BLOODY IPHONES. Hate hate hate.,negative,-3.0,tweets
A super exciting day of data entry. Yay me.,positive,0.467391304,tweets
I found this butterfly with its wing wrapped around a stick I got the stick out http://url_removed,positive,0.6875,tweets
facebook isn't working is trending lol thats funny :D,positive,0.804123711,tweets
@anonymous glad it wasn't your hose....was wondering how you celebrate your team winning. *gasp* rofl  Congrats (said thru gritted teeth. ha),positive,1.288659794,tweets
Daydreaming about spring.,positive,1.178947368,tweets
"@anonymous As you're aware, Twin Six does not sell bicycles, but bicycle related apparel and accessories.",negative,-0.115789474,tweets
Giants win! I'd like to think I brought the good luck. AT&amp;T Park is awesome.,positive,2.547368421,tweets
@anonymous LOL. LOL. LOL.,positive,1.904255319,tweets
"I'm too fucking tired to do SBR tonight, but too fucking stupid to cancel.  I suck.",negative,-2.567010309,tweets
Hate hate hate being late. Ugh.,negative,-2.315789474,tweets
One of the more insightful interviews/stories bout BP oil spill &amp; wetlands with Natl Park Service guy &amp; professor on @anonymous 2nite. Thx.,positive,0.793814433,tweets
Emitting the sad pathetic longing energy again. Damn.,negative,-1.842105263,tweets
On the midnight train to ohio.,positive,0.2,tweets
Boom Shaka Lacka.,positive,1.040816327,tweets
At least Comcast worked when it rains. Now I have to go either to the office or Starbucks to work.,negative,-1.040816327,tweets
And great joy. iPhone (lost) now found. It has the WoW authenticator. We rejoice!,positive,2.305263158,tweets
"Happy Thanksgiving to all who celebrate. I'm so thankful for wonderful friends, family, @anonymous and all of the awesome people online!",positive,2.712765957,tweets
Listening to @anonymous listen to nwa.,positive,0.257731959,tweets
Watching Ohio state with my dad.,positive,0.846938776,tweets
"Wow the Nintendo 3DS is pretty sweet, I didn't think that the 3D would be that good. Super Mario Land 3D is awesome!",positive,2.864583333,tweets
"Just thrilled to have had an inspiring chat with the wonderful @anonymous. Thanks, Susannah, for all your wisdom :)",positive,2.494736842,tweets
How the hell did U2 infiltrate my library? Bad. Bad. Bad.,negative,-1.989247312,tweets
"Yep, AT&amp;T's customer service is terrible.  Terrible, terrible, terrible. UGH.",negative,-3.347368421,tweets
Hate being blamed for other people's shitty fucking code.,negative,-2.884210526,tweets
@anonymous smart n beautiful :) win 4 sho :) hehe,positive,2.378947368,tweets
"Love the @anonymous website from @anonymous -- beautiful, beautiful, beautiful.",positive,2.684210526,tweets
"Just saw the most amazing, huge, beautiful rainbow. =]",positive,2.09375,tweets
Woo - 12 hour day...  Yay.,neutral,-0.041666667,tweets
Lmfao,positive,1.397849462,tweets
@anonymous yay yay yay. Yay yay yay. Repeat a few more times.,positive,2.645833333,tweets
@anonymous HA HA HA HA HA #hahahaha,positive,1.557894737,tweets
Good morning beautiful people!! Happy Tuesday!!,positive,2.847826087,tweets
"Goodbye, PAX. Great games, great people. Too much fun!",positive,2.385416667,tweets
Blah blah blah. Snow. More snow. Blah blah blah.,negative,-1.385416667,tweets
HAPPY HAPPY HAPPY HAPPY BDAY &lt;33333333333333,positive,3.445652174,tweets
@anonymous Gotta have the styro cup sweetie.,positive,0.428571429,tweets
Nervous as hell,negative,-1.242105263,tweets
"I think @anonymous is a worthless little shit. If that offends him...  Well, fuck him, that worthless little shit. #RedEye",negative,-3.226804124,tweets
CNN finally shifting from all-Discovery news to hurricane news.,neutral,-0.03125,tweets
"my dad is an IDIOT! fckng moron totaled the car,jst when we need 2 save money 4 the wedding he does smething stupid http://url_removed",negative,-3.347368421,tweets
"At a Harley dealership with Hubby. Dangerous, yes.  Fun, oh yes!",positive,1.75257732,tweets
The Devil is in the Details,negative,-0.572916667,tweets
RT @anonymous: RT @anonymous An earthquake in eastern Canada? Maybe Quebec is finally separating :) ~ lmao no that's was a good one!!  LOL,positive,0.368421053,tweets
Forgot my phone at home. Great. I hope I don't need it.,negative,-1.391304348,tweets
concept car design sometimes looks fun (Frankfurt Motor Show Top 10) http://url_removed,positive,1.105263158,tweets
Best drummer ever.  http://url_removed,positive,2.364583333,tweets
a customer just received her bags and is really happy! yaaay! :D,positive,2.583333333,tweets
@anonymous Good luck with the school tomorrow!  I really hope it works out for you!,positive,2.157894737,tweets
Scared 2 shower lighting really bad. Gotta be n at work at 7. Mouth hurts!,negative,-1.93814433,tweets
"Love when I get this description of someone, ""She's nice, but really she's kind of a bitch.""",negative,-0.442105263,tweets
How To Get Media Attention for Your Startup http://url_removed,positive,0.193877551,tweets
Bit disappointed with @anonymous. No one checked to see if our meal was okay and my salmon and watercress focaccia lacked watercress,negative,-1.726315789,tweets
Friend of Friend: I bet Osama Bin Ladin just ousted Hitler as the mayor of Hell on foursquare.,negative,-0.608247423,tweets
The person I reblogged this from has a blog. http://url_removed,positive,0.112244898,tweets
Can you crack the code? http://url_removed,neutral,0.032608696,tweets
@anonymous AGREED! haha,positive,1.43877551,tweets
You can read about their journey here... http://url_removed,positive,0.052631579,tweets
"Ok, now I'm depressed and pissed off http://url_removed @anonymous #TheCove",negative,-2.632653061,tweets
13 more weeks before this term is over. LOL I'm more excited for the block's Christmas party! :),positive,2.073684211,tweets
Pizza time.,positive,0.945652174,tweets
Shiny happy people laughing,positive,2.360824742,tweets
I am listening to Bonnie Raitt - Since I Fell For You,positive,0.391752577,tweets
Don't you worry about blank. Let me worry about blank.,neutral,0.020833333,tweets
Getting really tired of Firefox updates continually killing my add-ons.,negative,-1.903225806,tweets
