text,study_label,split
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,negative,train
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,negative,train
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,negative,train
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,negative,train
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,negative,train
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,negative,train
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,negative,train
2U downgraded to sector weight from overweight at KeyBanc Capital,negative,train
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,negative,train
AMC Networks price target cut to $35 from $39 at Imperial Capital,negative,train
American Software downgraded to neutral from buy at B. Riley FBR,negative,train
Analysts question Silicon Motion's margin outlook,negative,train
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,negative,train
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,negative,train
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,negative,train
AT&T shares sink after MoffettNathanson downgrade,negative,train
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",negative,train
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,negative,train
Autodesk downgraded to underweight from neutral at JPMorgan,negative,train
BAML warns of profit pressure for Hormel,negative,train
Barclays cools on Molson Coors,negative,train
Becton Dickinson downgraded to outperform from strong buy at Raymond James,negative,train
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,negative,train
Berry Petroleum downgraded to market perform from outperform at BMO Capital,negative,train
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,negative,train
Bluebird bio downgraded to in line from outperform at Evercore ISI,negative,train
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,negative,train
Canada Goose downgraded to buy from strong buy at CFRA,negative,train
Canada Goose stock price target cut to $50 from $65 at CFRA,negative,train
Children's Place downgraded as e-commerce puts margins at risk,negative,train
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,negative,train
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,negative,train
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,negative,train
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,negative,train
"Dell, HPE targets trimmed on compute headwinds",negative,train
Dish may not be key winner amid Intelsat woes - analyst,negative,train
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,negative,train
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,negative,train
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,negative,train
Dropbox on watch after stinging Spruce Point report,negative,train
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",negative,train
Evercore downgrades bluebird bio and Clovis in premarket analyst action,negative,train
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",negative,train
Forescout downgraded to neutral from buy at Monness Crespi Hardt,negative,train
FormFactor cut on 'unsustainable' revenue outlook,negative,train
Funko downgraded to hold from buy at Stifel Nicolaus,negative,train
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,negative,train
GM stock price target cut to $30 from $32 at Deutsche Bank,negative,train
Grubhub gains a bear on margin view,negative,train
H&P downgraded at Argus as drilling industry weakness seen persisting,negative,train
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,negative,train
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,negative,train
Hexo stock price target cut to C$5 from C$6 at MKM Partners,negative,train
Home Depot stock price target cut to $237 from $240 at Instinet,negative,train
Intelsat downgraded to underweight from neutral at J.P. Morgan,negative,train
Intelsat lower after Morgan Stanley target cut,negative,train
Jefferies warns on L Brands,negative,train
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,negative,train
Kohl's stock price target cut to $50 from $53 at Wedbush,negative,train
L Brands stock price target cut to $16 from $20 at Wedbush,negative,train
Lovesac stock price target cut to $28 vs. $33 at Canaccord,negative,train
Lyft stock price target cut to $58 from $70 at Deutsche Bank,negative,train
Macerich downgraded to underweight from sector weight at KeyBanc Capital,negative,train
Marinus Pharma stock price target cut to $6 from $7 at Leerink,negative,train
Methanex downgraded at TD Securities on valuation,negative,train
Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,negative,train
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,negative,train
Mitek Systems stock price target cut to $11 from $14 at Benchmark,negative,train
Napco Security stock price target cut to $30 from $35 at Imperial Capital,negative,train
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,negative,train
Netflix downgraded to ‘underperform’ at Needham,negative,train
Netflix stock falls after Wells Fargo turns bearish,negative,train
New Netflix bear steps out,negative,train
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",negative,train
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,negative,train
Novo Nordisk downgraded by UBS on concerns over drug launch cost,negative,train
Oppenheimer cuts estimates on Yum China,negative,train
Orbcomm price target lowered to $9 at Canaccord,negative,train
O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,negative,train
Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,negative,train
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,negative,train
Rio Tinto downgraded to neutral from overweight at J.P. Morgan,negative,train
"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",negative,train
Royal Caribbean downgraded to sell from buy at CFRA,negative,train
Royal Caribbean stock price target cut to $100 from $135 at CFRA,negative,train
Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,negative,train
Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,negative,train
Sherwin-Williams cut from Conviction Buy at Goldman on valuation,negative,train
Sirius downgraded on valuation,negative,train
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,negative,train
SunTrust latest to trim Nielsen target,negative,train
Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,negative,train
Take-Two downgraded on murky game slate,negative,train
Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,negative,train
Target Hospitality downgraded to perform from outperform at Oppenheimer,negative,train
Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,negative,train
"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",negative,train
Transocean started at sell with $3 stock price target at Deutsche Bank,negative,train
Ultra Clean downgraded to hold from buy at Stifel Nicolaus,negative,train
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,negative,train
Wells Fargo Downgrades Netflix On Spending Concerns,negative,train
"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",negative,train
Welltower stock price target cut to $90 from $95 at J.P. Morgan,negative,train
WWE stock price target cut to $57 from $79 at Benchmark,negative,train
$ALTG: Dougherty & Company starts at Buy,positive,train
$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX,positive,train
$ANCUF: BMO Capital Markets ups to Outperform,positive,train
$BHE: Lake Street starts at Buy,positive,train
$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,positive,train
$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,positive,train
$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw,positive,train
$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y,positive,train
$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,positive,train
"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH",positive,train
$GBT: Cantor Fitzgerald resumes at Overweight,positive,train
$GM - Morgan Stanley sees GM doubling in bull case scenario https://t.co/uNK2xzGQuq,positive,train
$GOOS: Barclays starts at Overweight,positive,train
$HAS - Hasbro gains after UBS upgrade https://t.co/taTMaip1uM,positive,train
"$JD - New https://t.co/BDnqOJSFq5 bull praises acceleration, margin profile https://t.co/Swtzl0mjnF",positive,train
$JD: Barclays ups to Overweight,positive,train
$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw,positive,train
$KIM: Compass Point ups to Neutral,positive,train
$LOW - Lowe's racks up another positive rating despite recession risk https://t.co/ekx4f6aqIK,positive,train
$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,positive,train
$LULU: Barclays starts at Overweight https://t.co/MCyfTsXc2N,positive,train
"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI",positive,train
$NBY Rated buy https://t.co/xWbLXU1yOY,positive,train
$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom,positive,train
$NVDA - Nvidia set for gaming tailwinds - BofA https://t.co/l3m78pJzrW,positive,train
$OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6,positive,train
$OYST: Cowen starts at Outperform,positive,train
$RAPT: BMO Capital Markets starts at Outperform,positive,train
$RNG - Evercore starts RingCentral at Outperform https://t.co/rfNcO3sw2k,positive,train
$SBAC $SBAC $AMT - MoffettNathanson boosts SBAC to Buy https://t.co/8k4l0c5x89,positive,train
$SNAP - Loop turns bullish on Snap ad growth https://t.co/TekdZS48et,positive,train
$STXS: Lake Street starts at Buy,positive,train
$TENB - Cowen sees upside in TENB's Indegy purchase https://t.co/Ve7bTreR7Y,positive,train
"$UBER $LYFT - Uber, Lyft can raise prices to profit - Barclays https://t.co/1xx084l36h",positive,train
$WABC: Maxim Group ups to Buy,positive,train
$WRI: Compass Point ups to Buy,positive,train
$ZS - New Zscaler bull sees 'sustainable' growth; shares +4% https://t.co/4fx811IVG5,positive,train
"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Trader $ATVI $TTWO… https://t.co/1s0WRleA2n",positive,train
Adobe stock price target raised to $315 vs. $290 at Wedbush,positive,train
Adobe stock price target raised to $318 vs. $310 at Instinet,positive,train
Aegis Capital positive on Netflix usage trend,positive,train
"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy",positive,train
Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity,positive,train
Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus,positive,train
Allergan upgraded to buy from neutral at UBS,positive,train
Altria stock price target raised to $54 from $50 at Stifel Nicolaus,positive,train
Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,positive,train
"An analyst at Loop Capital upgrades $LYFT  to buy from hold, citing higher revenue growth potential.  https://t.co/2blCalNe9P",positive,train
Analyst: AT&T Is The Top Telecom Pick For 2020,positive,train
Analysts Mostly Bullish On Newly Public Insurance Firm BRP Group,positive,train
Analysts See 18% Gains Ahead For The Holdings Of The First Trust Dow Jones Internet Index Fund ETF,positive,train
Ansys stock price target raised to $265 from $235 at Benchmark,positive,train
Anthem stock price target raised to $330 from $300 at SunTrust RH,positive,train
Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,positive,train
arGen-X stock price target raised to $255 vs. $203 at Instinet,positive,train
Armata Pharmaceuticals started at buy with $8 stock price target at Maxim Group,positive,train
Arrow Electronics stock price target raised to $87 vs. $84 at SunTrust Robinson Humphrey,positive,train
"Asset Management One Co. has a bullish call on Treasuries. One for the long, long run https://t.co/8go8ZhMvdc",positive,train
Audentes Therapeutics stock price target raised to $40 from $34 at Evercore ISI,positive,train
Audentes Therapeutics upgraded to outperform from in line at Evercore ISI,positive,train
Axcelis Technologies stock price target raised to $32 from $24 at Benchmark,positive,train
Baird bullish on beat-up Canada Goose,positive,train
Baird likes drug wholesalers in premarket analyst action,positive,train
Baird returns to Wingstop bull camp,positive,train
Baker Hughes started at buy with $32 stock price target at Deutsche Bank,positive,train
Bank of America stock price target raised to $49 from $48 at Oppenheimer,positive,train
Barclays analysts says Uber and Lyft are well-positioned to achieve profitability https://t.co/emLga0CBm1,positive,train
"Bausch Health upgraded to overweight from neutral at JPMorgan, price target raised to $38 from $32",positive,train
Bed Bath & Beyond reiterated as buy at BofA Merrill Lynch,positive,train
Belden stock price target raised to $56 vs. $54 at SunTrust Robinson Humphrey,positive,train
Benchmark says this roof supplier is a Buy,positive,train
Bernstein turns bullish on VMware's valuation,positive,train
Berry Petroleum upgraded to sector weight from underweight at KeyBanc Capital,positive,train
Best Buy stock price target raised to $105 from $86 at Oppenheimer,positive,train
Biogen stock price target raised to $392 from $320 at Instinet,positive,train
Biogen stock price target raised to $410 from $350 at SVB Leerink,positive,train
Boeing stock price target raised to $427 from $406 at CFRA,positive,train
"BofA Upgrades WestRock After Containerboard Conference, London Pulp Week",positive,train
"Bouygues SA Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",positive,train
BTIG expects Domino's to boost buybacks,positive,train
BTIG sees 'material improvement' to Ocwen book value,positive,train
"Bull sees 2020 upsides for MU, WDC",positive,train
Cabot upgraded to buy from neutral at UBS,positive,train
"Canada Goose upgraded to outperform from neutral at Baird, price target C$53",positive,train
Capital Southwest initiated at outperform at Raymond James with $23.50 price target,positive,train
Celanese stock price target raised to $120 vs. $111 at BofA Merrill Lynch,positive,train
CF Industries stock price target raised to $56 vs. $52 at BofA Merrill Lynch,positive,train
CF Industries upgraded to buy vs. neutral at BofA Merrill Lynch,positive,train
Ciena stock price target raised to $47 vs. $43 at Instinet,positive,train
Citi gives big boost to Deere PT,positive,train
Citi reels in PT on Nu Skin,positive,train
"CITRON SAYS IT'S LONG ON LUCKIN COFFEE

MW vs CItron",positive,train
CNH Industrial upped to Buy at Deutsche Bank on valuation,positive,train
Copa Holdings stock price target raised to $130 from $103 at Deutsche Bank,positive,train
Costco price target raised to $330 vs. $320 at BofA Merrill Lynch,positive,train
CSX stock price target raised to $90 from $72 at Deutsche Bank,positive,train
CSX upgraded to buy from hold at Deutsche Bank,positive,train
CVS Health stock price target raised to $90 from $85 at SunTrust RH,positive,train
CyrusOne upgraded to overweight from sector weight at KeyBanc Capital,positive,train
Diamondrock Hospitality upgraded to sector weight from underweight at KeyBanc Capital,positive,train
DLH Holdings maintained as buy with $7 price target at Canaccord,positive,train
Domtar upgraded to market perform at BMO Capital,positive,train
Dow stock price target raised to $52 vs. $46 at BofA Merrill Lynch,positive,train
"Earnings Update: Here's Why Analysts Just Lifted Their Aemetis, Inc. Price Target To US$2.25",positive,train
Earnings Update: Here's Why Analysts Just Lifted Their Milestone Scientific Inc. Price Target To US$2.00,positive,train
"Earnings Update: Here's Why Analysts Just Lifted Their Skyworks Solutions, Inc. Price Target To US$104",positive,train
Eastman Chemical stock price target raised to $85 vs. $82 at BofA Merrill Lynch,positive,train
Edgewell stock price target raised to $41 from $33 at CFRA,positive,train
Elastic upgraded to buy from hold at Canaccord Genuity,positive,train
"Enbridge upgraded to buy from neutral at UBS, price target lifted to C$54 from C$50",positive,train
"Energizer Holdings upgraded to neutral from underweight at JP Morgan, price target lifted to $51 from $41",positive,train
Energizer shakes off JPMorgan's bear call,positive,train
Equity Lifestyle Properties upgraded to outperform at BMO Capital,positive,train
Estee Lauder stock price target raised to $238 from $202 at Raymond James,positive,train
Etsy initiated as buy with $55 price target at SunTrust Robinson Humphrey,positive,train
FedEx stock price target raised to $168 from $163 at BofA Securities,positive,train
FleetCor stock price target raised to $325 from $310 at CFRA,positive,train
Ford's electric SUV impresses Credit Suisse,positive,train
Fortinet stock price target raised to $115 from $104 at BMO Capital,positive,train
Fortinet stock price target raised to $120 from $110 at Monness Crespi Hardt,positive,train
"Glenmark Pharmaceuticals Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",positive,train
Goldman adds Workday to conviction list; shares +1%,positive,train
"Goldman Says 36,000% Rally in Brazilian Retailer Has Room to Run",positive,train
GrubHub stock price target raised to $40 from $34 at Oppenheimer,positive,train
GrubHub stock price target raised to $60 from $30 at Susquehanna,positive,train
Hasbro upgraded on earnings growth potential from Entertainment One acquisition,positive,train
"Hasbro upgraded to buy from neutral at UBS, price target $117",positive,train
Heat Biologics started at buy with $1 stock price target at Maxim Group,positive,train
"Home Depot upgraded to outperform from neutral at Credit Suisse, price target raised to $235 from $225",positive,train
Humana stock price target raised to $363 from $319 at Deutsche Bank,positive,train
Huntsman named Conviction Buy at Goldman in chemical sector shuffle,positive,train
Intel stock price target raised to $62 vs. $60 at SunTrust Robinson Humphrey,positive,train
Intercept Pharmaceuticals maintained as buy with $165 price target at Canaccord,positive,train
Invitae Corp. maintained as buy at Benchmark,positive,train
J.C. Penney stock price target raised to $1.00 from 80 cents at B. Riley FBR,positive,train
Jabil stock price target raised to $47 from $36 at CFRA,positive,train
Jefferies analysts lifted Tesla $TSLA shares to buy while paring the price target 19%. https://t.co/BJhXfQuRTd,positive,train
JPMorgan likes Bausch Health in premarket analyst action,positive,train
JPMorgan out bullish on Uber's upside potential,positive,train
Kilroy Realty upgraded to overweight from sector weight at KeyBanc Capital,positive,train
L3Harris started at buy with $280 stock price target at Benchmark,positive,train
Lagging MLP upgraded at Goldman as new projects seen lifting cash flows,positive,train
Ligand Pharmaceuticals started at buy with $135 stock price target at Benchmark,positive,train
Lovesac maintained as buy at Canaccord,positive,train
Lululemon stock price target raised to $260 vs. $222 at Susquehanna,positive,train
Lyft stock gets an upgrade due to competitive positioning,positive,train
LyondellBasell sock price target raised to $107 vs. $99 at BofA Merrill Lynch,positive,train
Magnolia Oil & Gas started at overweight with $14 stock price target at KeyBanc Capital,positive,train
Mesa Air reiterated as outperform at Cowen,positive,train
Microchip Technology stock price target raised to $113 vs. $106 at SunTrust Robinson Humphrey,positive,train
Mizuho raises Intel on aggressive price cuts,positive,train
Molina Healthcare stock price target raised to $165 from $155 at SunTrust RH,positive,train
Morgan Stanley analyst Joseph Moore upgraded NVIDIA (NASDAQ: $NVDA) from Equalweight to Overweight with a price tar… https://t.co/NVjiO6Brwb,positive,train
Morgan Stanley bullish on Eldorado Resorts ahead of Caesars combination,positive,train
Morgan Stanley joins mortgage sector bulls,positive,train
Morgan Stanley Raises Fortinet's Price Target After Bullish Analyst Day,positive,train
Morgan Stanley upgrades NVIDIA $NVDA from Equal-Weight to Overweight and announces $259 price target.,positive,train
"Morgan Stanley upgrades Nvidia to buy, predicting 2020 will be 'a return to solid growth' https://t.co/9gTGxKbSGj",positive,train
"Munster Doubles Down, Says Apple Has 40% Upside This Year",positive,train
New bull sees 22% upside for Splunk,positive,train
New for subscribers:  Morgan Stanley adds Amazon to its list of favorite stocks. Here are the rest... https://t.co/QbgS6IQXRt,positive,train
Newmont Goldcorp stock price target raised to $41.50 from $39.50 at B. Riley FBR,positive,train
NLight target raised on Nutronics deal,positive,train
Nokia stock price target raised to $6.00 from $5.50 at MKM Partners,positive,train
Nuvasive upgraded to outperform vs market perform at Leerink,positive,train
"Nvidia Has One Of The Best Opportunities To Maintain High Multiple, Morgan Stanley Says In Upgrade",positive,train
Nvidia stock climbs after Morgan Stanley turns bullish,positive,train
NXP Semiconductors stock price target raised to $139 vs. $128 at SunTrust Robinson Humphrey,positive,train
Olin Corp. stock price target raised to $23 vs. $22 at BofA Merrill Lynch,positive,train
"One analyst says TD could unlock ""significant value"" by selling its minority stake in Ameritrade after its purchase… https://t.co/swy7IVNnQE",positive,train
Onto Innovation stock price target raised to $50 from $40 at Benchmark,positive,train
Owens Corning upgraded at Wells after raising residential insulation prices,positive,train
"Owens Corning Upgraded On Strong Insulation, Roofing Potential",positive,train
Oyster Point Pharma initiated at overweight with $26 price target at JP Morgan,positive,train
"Paul Tudor Jones Sees the Potential for a Stock Market Explosion, to the Upside",positive,train
PennMac Financial rises to record as Piper gets more bullish,positive,train
Piper likes DexCom in premarket analyst action,positive,train
"Pixelworks, Inc. Just Reported And Analysts Have Been Lifting Their Price Targets",positive,train
PPG Industries stock price target raised to $113 vs. $105 at BofA Merrill Lynch,positive,train
Prothena upgraded to outperform from in line at Evercore ISI,positive,train
Purple Innovation initiated at overweight with $12 price target at KeyBanc Capital,positive,train
Quanterix maintained as outperform with $35 price target at Leerink,positive,train
Results: KLA Corporation Beat Earnings Expectations And Analysts Now Have New Forecasts,positive,train
RPM International stock price target raised to $79 vs. $75 at BofA Merrill Lynch,positive,train
S&P Global stock price target raised to $322 from $274 at Stifel Nicolaus,positive,train
Sanderson Farms stock price target raised to $159 from $150 at J.P. Morgan,positive,train
Schlumberger started at buy with $42 stock price target at Deutsche Bank,positive,train
Selvaag Bolig ASA Just Beat Earnings Expectations: Here's What Analysts Think Will Happen Next,positive,train
"SoftBank will have the ""last laugh"" with WeWork deal, one Bernstein analyst says https://t.co/qmfAPKICdp",positive,train
Sonoma Pharma maintained as buy with $9 price target at Benchmark,positive,train
Splunk upgraded to overweight at Morgan Stanley,positive,train
"Starbucks Stock Is a Buy, According to This Investment Bank",positive,train
Starbucks upgraded to overweight at J.P. Morgan after meeting with executives,positive,train
"Stifel Upgrades Parker-Hannifin On Potential Synergies, Industry Recovery Prospects",positive,train
"Stifel Upgrades Wendy's, Bullish On Breakfast And Digital Prospects",positive,train
"Syanptics raised on forecast, margin strength",positive,train
Synaptics stock price target raised to $40 from $32 at J.P. Morgan,positive,train
"Synopsys upgraded to overweight from neutral at JPMorgan, price target raised to $160 from $157",positive,train
TE Connectivity stock price target raised to $95 vs. $94 at SunTrust Robinson Humphrey,positive,train
Teekay Tankers upped two notches to Buy at BAML,positive,train
Texas Instruments stock price target raised to $125 vs. $122 at SunTrust Robinson Humphrey,positive,train
Twitter stock price target raised to $36.50 from $34.50 at Wedbush,positive,train
Twitter stock price target raised to $38 from $36 at SunTrust RH,positive,train
Twitter stock price target raised to $47 from $34 at Susquehanna,positive,train
"Twitter, Inc. Just Reported And Analysts Have Been Lifting Their Price Targets",positive,train
U.S. Well Services initiated at buy with $3.50 price target at Stifel,positive,train
Uber stock price target raised to $45 from $34 at MKM Partners,positive,train
Uber stock price target raised to $49 from $47 at BofA Securities,positive,train
Uber stock price target raised to $50 from $45 at Oppenheimer,positive,train
Uber stock price target raised to $52 from $50 at Wedbush,positive,train
Uber stock price target raised to $54 from $50 at Deutsche Bank,positive,train
UBS raises Peloton’s price target to $40,positive,train
UBS upgrades Hasbro on strong sales of Frozen II dolls into Black Friday https://t.co/23HWM60K7q,positive,train
UDR upgraded to overweight from sector weight at KeyBanc Capital,positive,train
Unisys stock price target raised to $21 from $18 at Sidoti & Co.,positive,train
UnitedHealth stock price target raised to $338 from $303 at CFRA,positive,train
Upgrades 11/25: $ARWR $CACI $CF $DECK $DKS $ENR $EQM $ETRN $FE $HAS $HLX $JD $KIM $LYFT $NTR $NVDA $ORAN $PROS $SNAP $WEN $WING $WRI $ZS,positive,train
Upgrades 4/7: $AMT $BHP $BK $CHH $ENI $EQNR $ETR $EXR $FCX $HOLX $HSIC $LOW $LSI $MAR $MAS $MGP $MHK $MXL $NGG $NWE… https://t.co/jXZNb22Cwb,positive,train
Vertex Pharmaceuticals stock price target raised to $248 from $240 at BMO Capital,positive,train
Vertical Research expects Allison Transmission to break out,positive,train
Voyager Therapeutics started at outperform with $26 stock price target at Oppenheimer,positive,train
Walt Disney stock price target raised to $143 from $141 at Imperial Capital,positive,train
"Wells Fargo analyst Dori Kesten lifted her rating on Marriott $MAR to overweight, noting that the hotel chain's sha… https://t.co/9TLXzYZjUs",positive,train
Wells still bullish on T-Mobile after unsurprising CEO change,positive,train
Westlake Chemical stock price target raised to $65 vs. $64 at BofA Merrill Lynch,positive,train
WestRock stock price target raised to $48 from $42 at BofA Merrill Lynch,positive,train
WestRock upgraded to buy from neutral at BofA Merrill Lynch,positive,train
Why Credit Suisse Sees the S&P 500 Gaining 10% in 2020,positive,train
Williams Cos. initiated as buy with $27 price target at SunTrust Robinson Humphrey,positive,train
"Workday added to Goldman's conviction list, stock gains",positive,train
Zendesk stock price target raised to $85 from $75 at Stifel Nicolaus,positive,train
Zendesk targets raised after 'solid' results,positive,train
$LB - MKM Partners puts a number on Victoria's Secret https://t.co/VSzHLqLBgE,neutral,train
$WING - Baird returns to Wingstop bull camp https://t.co/KfPaweOVgo,neutral,train
Analysts React To FCC Decision On Intelsat C-Band Spectrum Auction,neutral,train
Arex Capital ramps up pressure on Zagg,neutral,train
Aviation Capital Group Assigned ‘Baa2’ Rating by Moody’s https://t.co/kEKxNfJEgZ https://t.co/5hasUcG1ON,neutral,train
"Benzinga's Top Upgrades, Downgrades For December 17, 2019",neutral,train
"Benzinga's Top Upgrades, Downgrades For November 25, 2019",neutral,train
BRP Group started at hold with $18 stock price target at Jefferies,neutral,train
"BTIG resumes coverage on range of healthcare stocks, neutral on AbbVie",neutral,train
Bull camp empty on Sally Beauty,neutral,train
CA$10.60 - That's What Analysts Think Vecima Networks Inc. Is Worth After These Results,neutral,train
"Chicken Soup for the Soul Entertainment, Inc. Third-Quarter Results: Here's What Analysts Are Forecasting For Next Year",neutral,train
"Citron Research, owned by the prominent short seller Andrew Left, placed a $5 price target on $PTON  https://t.co/a5WT4knuVf",neutral,train
"Coin Toss: Morgan Stanley Raises Tesla Bull Case To $500, Keeps Bear Case At $10 https://t.co/hjXizuPs7Z",neutral,train
